id,type,lat,lon,data
294042266,Walkable Bridge,53.5404762,-1.5096904,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""highway"": ""footway""}"
1307705919,Walkable Bridge,51.4582713,-2.5676086,"{""bridge"": ""yes"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""surface"": ""paving_stones""}"
498866032,Walkable Bridge,53.7507887,-1.4723891,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""lit"": ""no"", ""surface"": ""asphalt"", ""width"": ""1""}"
790825931,Walkable Bridge,52.1467199,-2.2215664,"{""bridge"": ""yes"", ""highway"": ""path"", ""layer"": ""1"", ""surface"": ""grass""}"
839494517,Walkable Bridge,51.875475,-1.759672,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""highway"": ""footway"", ""surface"": ""wood""}"
146670631,Walkable Bridge,51.2424141,-0.3206919,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""source"": ""gps"", ""source:designation"": ""sign at Pixham Lane""}"
30950625,Walkable Bridge,53.0466322,-2.8494902,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""ref"": ""Church Shocklach FP 3""}"
444921824,Walkable Bridge,53.5721602,-2.5185023,"{""bridge"": ""yes"", ""highway"": ""footway"", ""lit"": ""no"", ""surface"": ""asphalt""}"
156790939,Walkable Bridge,51.1500009,-2.7315295,"{""bridge"": ""yes"", ""highway"": ""footway""}"
1017347667,Walkable Bridge,53.2258246,-2.4999703,"{""bridge"": ""yes"", ""foot"": ""designated"", ""highway"": ""footway"", ""ref"": ""Bostock FP1"", ""stroller"": ""no"", ""surface"": ""dirt"", ""wheelchair"": ""no"", ""width"": ""0.5""}"
470463641,Walkable Bridge,53.0511356,-4.2723099,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""source"": ""Bing""}"
236864780,Walkable Bridge,53.0631393,-1.3803442,"{""bridge"": ""yes"", ""highway"": ""footway"", ""source"": ""GPS""}"
103917159,Walkable Bridge,51.1822145,0.0321011,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""path"", ""layer"": ""1"", ""source"": ""survey"", ""surface"": ""ground""}"
206896902,Walkable Bridge,50.9877731,0.6192387,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""highway"": ""footway"", ""layer"": ""1""}"
946841824,Walkable Bridge,53.7481847,-2.1853442,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""layer"": ""1"", ""prow_ref"": ""Cliviger FP 2""}"
42740476,Walkable Bridge,52.1393696,-2.2218292,"{""bridge"": ""yes"", ""foot"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}"
851558884,Walkable Bridge,53.8950978,-2.6620743,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""layer"": ""1"", ""surface"": ""ground""}"
923973611,Walkable Bridge,51.8243076,-4.7908154,"{""bridge"": ""yes"", ""designation"": ""public_footpath"", ""foot"": ""designated"", ""highway"": ""footway"", ""layer"": ""1"", ""surface"": ""wood""}"
912899264,Walkable Bridge,57.1221137,-3.2219215,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1""}"
102789706,Walkable Bridge,55.3962456,-2.0384739,"{""bridge"": ""yes"", ""highway"": ""path""}"
